Provinces,id,Year,HDI,GI
Bali,1,2007,0.681,0
Bali,1,2008,0.683,1
Bali,1,2009,0.692,1
Bali,1,2010,0.698,1
Bali,1,2011,0.704,1
Bali,1,2012,0.709,1
Bali,1,2013,0.713,1
Bali,1,2014,0.716,1
Bali,1,2015,0.723,1
Bali,1,2016,0.725,1
Bali,1,2017,0.73,1
Bali,1,2018,0.736,1
Bali,1,2019,0.742,1
Bali,1,2020,0.735,1
Bangka Belitung,2,2007,0.656,0
Bangka Belitung,2,2008,0.658,0
Bangka Belitung,2,2009,0.668,0
Bangka Belitung,2,2010,0.674,0
Bangka Belitung,2,2011,0.68,0
Bangka Belitung,2,2012,0.686,0
Bangka Belitung,2,2013,0.687,0
Bangka Belitung,2,2014,0.686,0
Bangka Belitung,2,2015,0.691,0
Bangka Belitung,2,2016,0.689,0
Bangka Belitung,2,2017,0.69,0
Bangka Belitung,2,2018,0.696,0
Bangka Belitung,2,2019,0.702,0
Bangka Belitung,2,2020,0.695,0
Banten,3,2007,0.637,0
Banten,3,2008,0.643,0
Banten,3,2009,0.656,0
Banten,3,2010,0.665,0
Banten,3,2011,0.675,0
Banten,3,2012,0.684,0
Banten,3,2013,0.688,0
Banten,3,2014,0.691,0
Banten,3,2015,0.698,0
Banten,3,2016,0.7,0
Banten,3,2017,0.705,0
Banten,3,2018,0.71,0
Banten,3,2019,0.717,0
Banten,3,2020,0.71,0
Bengkulu,4,2007,0.635,0
Bengkulu,4,2008,0.642,0
Bengkulu,4,2009,0.656,0
Bengkulu,4,2010,0.666,0
Bengkulu,4,2011,0.676,0
Bengkulu,4,2012,0.686,0
Bengkulu,4,2013,0.691,0
Bengkulu,4,2014,0.696,0
Bengkulu,4,2015,0.705,0
Bengkulu,4,2016,0.709,0
Bengkulu,4,2017,0.715,0
Bengkulu,4,2018,0.721,1
Bengkulu,4,2019,0.728,1
Bengkulu,4,2020,0.72,1
Central Java,5,2007,0.638,0
Central Java,5,2008,0.641,0
Central Java,5,2009,0.651,0
Central Java,5,2010,0.657,0
Central Java,5,2011,0.663,0
Central Java,5,2012,0.67,0
Central Java,5,2013,0.676,0
Central Java,5,2014,0.681,1
Central Java,5,2015,0.692,1
Central Java,5,2016,0.697,1
Central Java,5,2017,0.704,1
Central Java,5,2018,0.709,1
Central Java,5,2019,0.716,1
Central Java,5,2020,0.709,1
Central Kalimantan,6,2007,0.654,0
Central Kalimantan,6,2008,0.651,0
Central Kalimantan,6,2009,0.656,0
Central Kalimantan,6,2010,0.657,0
Central Kalimantan,6,2011,0.657,0
Central Kalimantan,6,2012,0.658,0
Central Kalimantan,6,2013,0.663,0
Central Kalimantan,6,2014,0.666,0
Central Kalimantan,6,2015,0.674,0
Central Kalimantan,6,2016,0.676,0
Central Kalimantan,6,2017,0.681,0
Central Kalimantan,6,2018,0.687,0
Central Kalimantan,6,2019,0.694,0
Central Kalimantan,6,2020,0.687,0
Central Sulawesi,7,2007,0.62,0
Central Sulawesi,7,2008,0.619,0
Central Sulawesi,7,2009,0.626,0
Central Sulawesi,7,2010,0.629,0
Central Sulawesi,7,2011,0.631,0
Central Sulawesi,7,2012,0.634,0
Central Sulawesi,7,2013,0.644,0
