,no,province_id,province,district_id,district,Registration Date,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
,1,11,Aceh,1101,Simeulue,,60.60 ,61.03 ,61.25 ,61.68 ,62.18 ,63.16 ,63.82 ,64.41 ,64.74,65.7,66.03,66.41,67.27,68.06
,2,11,Aceh,1102,Aceh Singkil,,62.36 ,63.13 ,64.23 ,64.87 ,65.27 ,66.05 ,66.96 ,67.37 ,68.02,68.91,68.94,69.22,69.62,70.14
,3,11,Aceh,1103,South Aceh,,61.22 ,61.52 ,61.69 ,62.27 ,62.35 ,63.28 ,64.13 ,65.03 ,65.92,66.9,67.12,67.44,67.87,68.44
,4,11,Aceh,1104,South East Aceh ,,63.82 ,64.27 ,64.99 ,65.55 ,65.90 ,66.77 ,67.48 ,68.09 ,68.67,69.36,69.37,69.44,70.32,71.05
,5,11,Aceh,1105,East Aceh ,,61.75 ,62.35 ,62.93 ,63.27 ,63.57 ,64.55 ,65.42 ,66.32 ,66.82,67.39,67.63,67.83,68.72,69.32
,6,11,Aceh,1106,Central Aceh,40296,69.17 ,70.00 ,70.18 ,70.51 ,70.96 ,71.51 ,72.04 ,72.19 ,72.64,73.14,73.24,73.37,73.95,74.6
,7,11,Aceh,1107,West Aceh,,66.05 ,66.47 ,66.66 ,66.86 ,67.31 ,68.41 ,69.26 ,70.20 ,70.47,71.22,71.38,71.67,72.34,72.88
,8,11,Aceh,1108,Aceh Besar,,69.76 ,69.94 ,70.10 ,70.61 ,71.06 ,71.70 ,71.75 ,72.00 ,72.73,73.55,73.56,73.58,74,74.53
,9,11,Aceh,1109,Pidie,,66.75 ,66.95 ,67.30 ,67.59 ,67.87 ,68.68 ,69.06 ,69.52 ,69.93,70.41,70.63,70.7,71.2,71.66
,10,11,Aceh,1110,Bireuen,,66.42 ,67.03 ,67.57 ,68.23 ,68.71 ,69.77 ,70.21 ,71.11 ,71.37,72.27,72.28,72.33,73.16,73.63
,11,11,Aceh,1111,North Aceh,,63.56 ,64.22 ,64.82 ,65.36 ,65.93 ,66.85 ,67.19 ,67.67 ,68.36,69.22,69.33,69.46,70.22,70.87
,12,11,Aceh,1112,North-West Aceh,,60.91 ,61.75 ,62.15 ,62.62 ,63.08 ,63.77 ,64.57 ,65.09 ,65.67,66.56,66.75,66.99,67.41,68.07
,13,11,Aceh,1113,Gayo Lues,0,60.93 ,61.91 ,62.85 ,63.22 ,63.34 ,63.67 ,64.26 ,65.01 ,65.88,66.87,67.22,67.56,68.25,68.93
,14,11,Aceh,1114,Aceh Tamiang,,64.67 ,64.89 ,65.21 ,65.56 ,66.09 ,67.03 ,67.41 ,67.99 ,68.45,69.23,69.24,69.48,70.43,71.35
,15,11,Aceh,1115,Nagan Raya,,63.57 ,64.24 ,64.91 ,65.23 ,65.58 ,66.73 ,67.32 ,67.78 ,68.15,69.11,69.18,69.31,70.1,70.78
,16,11,Aceh,1116,Aceh Jaya,,64.75 ,65.17 ,66.42 ,66.92 ,67.30 ,67.53 ,67.70 ,68.07 ,68.83,69.74,69.75,69.84,70.36,70.88
,17,11,Aceh,1117,Bener Meriah,0,67.29 ,68.24 ,69.14 ,69.74 ,70.00 ,70.62 ,71.42 ,71.89 ,72.14,72.97,72.98,73.27,73.9,74.49
,18,11,Aceh,1118,Pidie Jaya,,68.38 ,68.69 ,68.90 ,69.26 ,69.89 ,70.49 ,71.13 ,71.73 ,72.12,72.87,73.2,73.6,74.34,74.8
,19,11,Aceh,1171,Banda Aceh City,,80.36 ,80.87 ,81.30 ,81.84 ,82.22 ,83.25 ,83.73 ,83.95 ,84.37,85.07,85.41,85.71,86.28,86.69
,20,11,Aceh,1172,Sabang City,,69.70 ,70.15 ,70.84 ,71.07 ,71.50 ,72.51 ,73.36 ,74.10 ,74.82,75.77,75.78,76.11,76.85,77.52
,21,11,Aceh,1173,Langsa City,,71.79 ,72.15 ,72.75 ,73.40 ,73.81 ,74.74 ,75.41 ,75.89 ,76.34,77.16,77.17,77.44,77.82,78.36
,22,11,Aceh,1174,Lhokseumawe City,,71.55 ,72.35 ,73.55 ,74.13 ,74.44 ,75.11 ,75.78 ,76.34 ,76.62,77.3,77.31,77.57,78.04,78.92
,23,11,Aceh,1175,Subulussalam City,,58.97 ,59.34 ,59.76 ,60.11 ,60.39 ,61.32 ,62.18 ,62.88 ,63.48,64.46,64.93,65.27,66.2,67.1
,24,12,North Sumatera,1201,Nias,,54.72 ,55.55 ,56.50 ,57.43 ,57.98 ,58.85 ,59.75 ,60.21 ,60.82,61.65,61.93,62.74,63.69,64.56
,25,12,North Sumatera,1202,Mandailing Natal,42622,60.76 ,61.60 ,62.26 ,62.91 ,63.42 ,63.99 ,64.55 ,65.13 ,65.83,66.52,66.79,67.19,68.05,68.56
,26,12,North Sumatera,1203,South Tapanuli,43294,64.20 ,65.14 ,65.95 ,66.75 ,67.22 ,67.63 ,68.04 ,68.69 ,69.1,69.75,70.12,70.33,70.92,71.55
,27,12,North Sumatera,1204,Central Tapanuli ,,64.39 ,65.16 ,65.43 ,65.64 ,66.16 ,67.06 ,67.27 ,67.96 ,68.27,68.86,69.23,69.61,70.31,70.91
,28,12,North Sumatera,1205,North Tapanuli ,,68.43 ,69.24 ,69.83 ,70.50 ,70.70 ,71.32 ,71.96 ,72.38 ,72.91,73.33,73.47,73.76,74.14,74.65
,29,12,North Sumatera,1206,Toba Samosir,,70.90 ,71.39 ,71.89 ,72.36 ,72.79 ,73.40 ,73.61 ,73.87 ,74.48,74.92,75.16,75.39,75.96,76.38
,30,12,North Sumatera,1207,Labuhan Batu,,66.88 ,67.88 ,68.64 ,69.45 ,70.06 ,70.23 ,70.50 ,71.00 ,71.39,71.94,72.01,72.09,72.92,73.69
,31,12,North Sumatera,1208,Asahan,,65.06 ,65.87 ,66.23 ,66.58 ,67.51 ,68.40 ,68.71 ,69.10 ,69.49,69.92,70.29,70.49,71.13,71.56
,32,12,North Sumatera,1209,Simalungun,42055,68.80 ,69.03 ,69.79 ,70.28 ,70.89 ,71.24 ,71.48 ,71.83 ,72.49,72.98,73.25,73.4,73.77,74.29
,33,12,North Sumatera,1210,Dairi,43664,65.91 ,66.62 ,66.95 ,67.15 ,67.91 ,69.00 ,69.61 ,70.36 ,70.89,71.42,71.57,71.84,72.56,73.27
,34,12,North Sumatera,1211,Karo,43700,70.36 ,71.12 ,71.40 ,71.62 ,71.84 ,72.69 ,73.29 ,73.53 ,73.91,74.25,74.43,74.83,75.36,75.98
,35,12,North Sumatera,1212,Deli Serdang,,70.06 ,70.25 ,70.88 ,71.39 ,71.98 ,72.79 ,73.51 ,73.94 ,74.92,75.43,75.44,75.53,76.19,76.52
,36,12,North Sumatera,1213,Langkat,,64.57 ,65.77 ,66.18 ,67.17 ,68.00 ,68.53 ,69.13 ,69.82 ,70.27,70.76,71,71.35,71.86,72.21
,37,12,North Sumatera,1214,Nias Selatan,,54.54 ,55.50 ,55.97 ,56.78 ,57.78 ,58.74 ,59.14 ,59.85 ,60.75,61.59,61.89,62.35,63.17,64.12
,38,12,North Sumatera,1215,Humbang Hasundutan,43090,63.40 ,64.06 ,64.54 ,64.92 ,65.59 ,66.03 ,66.56 ,67.30 ,67.96,68.83,68.87,69.41,70.32,70.75
,39,12,North Sumatera,1216,Pakpak Bharat,,61.76 ,63.11 ,63.88 ,64.73 ,65.06 ,65.53 ,65.81 ,66.25 ,66.63,67.47,67.59,67.94,68.85,69.58
,40,12,North Sumatera,1217,Samosir,43294,65.14 ,65.81 ,66.31 ,66.80 ,67.80 ,68.43 ,68.82 ,69.43 ,69.99,70.55,70.63,70.83,71.67,72.08
,41,12,North Sumatera,1218,Serdang Bedagai,,64.67 ,65.28 ,66.14 ,67.11 ,67.78 ,68.01 ,68.77 ,69.16 ,69.69,70.21,70.24,70.56,71.21,71.75
,42,12,North Sumatera,1219,Batu Bara,,63.45 ,63.95 ,64.45 ,65.06 ,65.50 ,66.02 ,66.69 ,67.20 ,67.67,68.35,68.36,68.58,69.51,70.31
,43,12,North Sumatera,1220,North Padang Lawas,,64.25 ,65.22 ,65.65 ,66.13 ,66.50 ,67.35 ,68.05 ,68.34 ,68.77,69.29,69.85,70.11,70.93,71.63
,44,12,North Sumatera,1221,Padang Lawas,,62.45 ,63.28 ,64.05 ,64.62 ,65.50 ,65.99 ,66.23 ,66.82 ,67.59,68.16,68.25,68.64,69.58,70.34
,45,12,North Sumatera,1222,South Labuhan Batu,,65.32 ,65.77 ,67.06 ,67.78 ,68.59 ,69.67 ,70.28 ,70.48 ,70.98,71.39,71.4,71.69,72.16,72.82
,46,12,North Sumatera,1223,North Labuhan Batu,,66.72 ,67.37 ,67.84 ,68.28 ,69.15 ,69.69 ,70.26 ,70.79 ,71.08,71.43,71.61,71.87,72.77,73.63
,47,12,North Sumatera,1224,North Nias ,,-,57.53 ,57.87 ,58.29 ,59.18 ,59.88 ,60.23 ,60.57 ,61.08,61.98,62.36,62.82,63.75,64.64
,48,12,North Sumatera,1225,West Nias,,-,55.43 ,56.20 ,56.58 ,57.54 ,58.25 ,59.03 ,59.56 ,60.42,61.14,61.51,61.99,62.93,63.7
,49,12,North Sumatera,1271,Sibolga City,,68.37 ,69.17 ,69.71 ,70.45 ,71.01 ,71.64 ,72.00 ,72.28 ,72.65,73.41,73.63,73.94,74.74,75.2
,50,12,North Sumatera,1272,Tanjung Balai City,,63.47 ,64.13 ,64.89 ,65.40 ,66.05 ,66.74 ,67.09 ,67.41 ,68,68.51,68.65,68.94,69.86,70.59
,51,12,North Sumatera,1273,Pematang Siantar City,,72.52 ,73.61 ,74.51 ,75.05 ,75.83 ,76.34 ,76.90 ,77.54 ,77.88,78.57,78.75,79.17,79.7,80.46
,52,12,North Sumatera,1274,Tebing Tinggi City,,69.96 ,70.84 ,71.34 ,71.85 ,72.13 ,72.81 ,73.58 ,73.90 ,74.5,75.08,75.17,75.42,76.17,76.98
,53,12,North Sumatera,1275,Medan City,,77.02 ,77.54 ,77.78 ,78.00 ,78.26 ,78.87 ,79.34 ,79.98 ,80.65,80.97,80.98,81.21,81.76,82.19
,54,12,North Sumatera,1276,Binjai City,,70.54 ,70.85 ,71.54 ,72.02 ,72.55 ,73.81 ,74.11 ,74.65 ,75.21,75.89,75.89,76.01,76.95,77.6
,55,12,North Sumatera,1277,Padangsidimpuan City,,70.23 ,71.08 ,71.38 ,71.68 ,71.88 ,72.80 ,73.42 ,73.81 ,74.38,75.06,75.22,75.48,76.05,76.44
,56,12,North Sumatera,1278,Gunungsitoli City,,-,63.71 ,64.34 ,65.25 ,65.91 ,66.41 ,66.85 ,67.68 ,68.33,69.3,69.31,69.61,70.23,70.68
,57,13,West Sumatera,1301,Mentawai Islands,,55.66 ,55.90 ,56.10 ,56.33 ,56.73 ,57.41 ,58.27 ,59.25 ,60.28,61.26,61.09,61.35,62.19,63.13
,58,13,West Sumatera,1302,Pesisir Selatan,,65.09 ,65.80 ,66.49 ,67.31 ,67.75 ,68.07 ,68.39 ,68.74 ,69.4,70.08,69.9,70.03,70.84,71.44
,59,13,West Sumatera,1303,Solok,,64.53 ,65.28 ,65.62 ,66.15 ,66.44 ,67.12 ,67.67 ,67.86 ,68.6,69.08,69.08,69.24,70.02,70.63
,60,13,West Sumatera,1304,Sijunjung,,62.51 ,62.92 ,63.70 ,64.48 ,64.95 ,65.30 ,66.01 ,66.60 ,66.97,67.66,67.74,67.86,68.69,69.65
,61,13,West Sumatera,1305,Tanah Datar,,66.47 ,66.92 ,67.29 ,68.12 ,68.51 ,69.49 ,70.11 ,70.37 ,71.25,72.14,72.33,72.46,73.29,73.98
,62,13,West Sumatera,1306,Padang Pariaman,,65.16 ,65.89 ,66.20 ,67.15 ,67.56 ,68.04 ,68.44 ,68.90 ,69.71,70.59,70.61,70.76,71.63,72.61
,63,13,West Sumatera,1307,Agam,,66.12 ,66.94 ,67.95 ,68.73 ,69.32 ,69.84 ,70.36 ,71.10 ,71.7,72.37,72.46,72.57,73.29,73.98
,64,13,West Sumatera,1308,Lima Puluh Kota,,64.64 ,65.20 ,65.87 ,66.30 ,66.78 ,67.65 ,68.37 ,68.69 ,69.17,69.67,69.47,69.68,70.28,70.7
,65,13,West Sumatera,1309,Pasaman,,60.88 ,61.57 ,62.26 ,62.91 ,63.33 ,64.01 ,64.57 ,64.94 ,65.6,66.46,66.64,66.77,67.41,68.13
,66,13,West Sumatera,1310,Solok Selatan,,64.51 ,64.81 ,65.12 ,65.86 ,66.29 ,67.09 ,67.47 ,67.81 ,68.45,68.94,69.04,69.23,69.71,70.58
,67,13,West Sumatera,1311,Dharmasraya,,66.56 ,67.40 ,67.76 ,68.71 ,69.27 ,69.84 ,70.25 ,70.40 ,70.86,71.52,71.51,71.76,72.3,73.04
,68,13,West Sumatera,1312,Pasaman Barat,,61.77 ,62.55 ,63.33 ,63.92 ,64.56 ,65.26 ,66.03 ,66.83 ,67.43,68.21,68.49,68.76,69.57,70.19
,69,13,West Sumatera,1371,Padang City,,78.44 ,78.68 ,79.00 ,79.23 ,79.83 ,80.36 ,81.06 ,81.58 ,82.25,82.68,82.82,82.9,83.29,83.58
,70,13,West Sumatera,1372,Solok City,,74.38 ,74.68 ,75.02 ,75.54 ,76.20 ,76.83 ,77.07 ,77.44 ,77.89,78.38,78.29,78.41,79.23,79.58
,71,13,West Sumatera,1373,Sawah Lunto City,,67.55 ,67.97 ,68.59 ,69.07 ,69.61 ,69.87 ,70.67 ,71.13 ,71.72,72.39,72.64,72.88,73.73,74.42
,72,13,West Sumatera,1374,Padang Panjang City,,73.27 ,73.76 ,74.22 ,74.54 ,75.05 ,75.98 ,76.50 ,77.01 ,77.3,78,77.93,77.97,78.78,79.26
,73,13,West Sumatera,1375,Bukittinggi City,,76.12 ,76.30 ,76.92 ,77.67 ,78.02 ,78.72 ,79.11 ,79.80 ,80.11,80.71,80.58,80.7,81.42,81.78
,74,13,West Sumatera,1376,Payakumbuh City,,74.89 ,75.39 ,75.89 ,76.34 ,76.49 ,77.42 ,77.56 ,77.91 ,78.23,78.95,78.9,79.08,79.53,79.97
,75,13,West Sumatera,1377,Pariaman City,,72.56 ,73.07 ,73.47 ,74.51 ,74.66 ,74.98 ,75.44 ,75.71 ,76.26,76.7,76.9,77.07,77.65,78.13
,76,14,Riau,1401,Kuantan Singingi,,65.07 ,65.72 ,66.31 ,66.65 ,67.47 ,68.32 ,68.66 ,69.53 ,69.96,70.78,70.31,70.6,71.09,71.67
,77,14,Riau,1402,Indragiri Hulu,,65.10 ,65.93 ,66.50 ,66.68 ,67.11 ,68.00 ,68.67 ,68.97 ,69.66,70.05,69.83,70.01,70.46,71.04
,78,14,Riau,1403,Indragiri Hilir,,61.98 ,62.82 ,63.04 ,63.44 ,63.80 ,64.80 ,65.35 ,66.17 ,66.51,66.84,66.54,66.63,67.37,67.98
,79,14,Riau,1404,Pelalawan,,65.95 ,66.58 ,67.25 ,68.29 ,68.67 ,69.82 ,70.21 ,70.59 ,71.44,71.85,71.56,72.08,72.93,73.59
,80,14,Riau,1405,Siak,,69.78 ,70.20 ,70.45 ,70.84 ,71.45 ,72.17 ,72.70 ,73.18 ,73.73,74.07,73.68,73.98,74.5,74.98
,81,14,Riau,1406,Kampar,,68.62 ,69.64 ,70.08 ,70.46 ,70.72 ,71.28 ,71.39 ,72.19 ,72.5,73.15,72.83,73.02,73.84,74.24
,82,14,Riau,1407,Rokan Hulu,,63.59 ,64.20 ,64.99 ,66.07 ,67.02 ,67.29 ,67.86 ,68.67 ,69.36,69.93,69.38,69.67,70.31,71.02
,83,14,Riau,1408,Bengkalis,,69.29 ,69.72 ,70.26 ,70.60 ,70.84 ,71.29 ,71.98 ,72.27 ,72.94,73.44,73.46,73.58,74.38,74.97
,84,14,Riau,1409,Rokan Hilir,,64.13 ,64.76 ,65.09 ,65.46 ,66.22 ,66.81 ,67.52 ,67.84 ,68.73,69.4,69.15,69.34,70.1,70.78
,85,14,Riau,1410,Meranti Islands,42492,59.71 ,60.38 ,61.49 ,62.53 ,62.91 ,63.25 ,63.90 ,64.70 ,65.23,65.93,65.5,65.7,66.52,67.28
,86,14,Riau,1471,Pekanbaru City,,77.34 ,77.71 ,77.94 ,78.16 ,78.42 ,79.32 ,79.69 ,79.97 ,80.66,81.35,81.32,81.58,82.06,82.38
,87,14,Riau,1473,Dumai City,,69.55 ,70.43 ,71.07 ,71.59 ,71.86 ,72.20 ,72.96 ,73.46 ,74.06,74.64,74.4,74.75,75.26,75.66
,88,15,Riau,1501,Kerinci,42842,65.16 ,65.85 ,66.71 ,67.49 ,67.96 ,68.89 ,69.68 ,70.03 ,70.59,70.95,71.21,71.45,71.99,72.54
,89,15,Riau,1502,Merangin,,63.85 ,64.40 ,65.31 ,65.82 ,66.21 ,67.15 ,67.86 ,68.30 ,68.81,69.07,69.19,69.53,69.98,70.81
,90,15,Riau,1503,Sarolangun,,64.64 ,65.20 ,66.16 ,67.13 ,67.67 ,68.10 ,68.73 ,69.03 ,69.41,69.72,69.86,70.25,70.89,71.29
,91,15,Riau,1504,Batang Hari,,65.67 ,66.32 ,66.97 ,67.24 ,67.68 ,68.05 ,68.70 ,68.92 ,69.33,69.67,69.84,70.11,70.51,71.02
,92,15,Riau,1505,Muaro Jambi,,62.84 ,63.39 ,64.17 ,65.14 ,65.71 ,66.66 ,67.55 ,67.86 ,68.34,69.01,69.18,69.55,70.18,71.04
,93,15,Riau,1506,Tanjung Jabung Timur,,57.21 ,57.77 ,58.63 ,59.41 ,59.88 ,61.12 ,61.88 ,62.61 ,63.32,63.92,64.43,64.91,65.77,66.65
,94,15,Riau,1507,Tanjung Jabung Barat,42208,61.49 ,61.98 ,62.86 ,63.54 ,64.04 ,65.03 ,65.91 ,66.15 ,67.13,67.54,67.54,68.16,68.79,69.35
,95,15,Riau,1508,Tebo,,63.62 ,64.45 ,65.23 ,65.91 ,66.63 ,67.29 ,68.05 ,68.16 ,68.67,69.02,69.14,69.35,69.78,70.63
,96,15,Riau,1509,Bungo,,66.28 ,66.70 ,67.20 ,67.54 ,67.93 ,68.34 ,68.77 ,69.04 ,69.42,69.86,69.92,70.15,70.55,71.06
,97,15,Riau,1571,Jambi City,,72.23 ,72.96 ,73.78 ,74.21 ,74.86 ,75.58 ,76.14 ,76.74 ,77.41,78.26,78.37,79.12,79.58,80.15
,98,15,Riau,1572,Sungai Penuh City,,69.91 ,70.55 ,71.23 ,72.09 ,72.48 ,73.03 ,73.35 ,73.75 ,74.67,75.36,75.42,75.7,76.17,76.65
,99,16,South Sumatera,1601,Ogan Komering Ulu,,64.13 ,64.62 ,65.09 ,65.51 ,66.21 ,67.18 ,67.47 ,68.28 ,69.01,69.45,69.32,69.6,70.24,71.01
,100,16,South Sumatera,1602,Ogan Komering Ilir,,61.04 ,61.68 ,62.29 ,63.52 ,63.87 ,64.73 ,65.44 ,66.11 ,66.57,66.96,66.82,67.17,68.02,68.65
,101,16,South Sumatera,1603,Muara Enim,42328,62.12 ,62.82 ,63.34 ,64.34 ,65.02 ,65.82 ,66.71 ,67.63 ,68.28,68.88,68.74,68.86,69.43,70.24
,102,16,South Sumatera,1604,Lahat,,62.31 ,62.93 ,63.66 ,64.15 ,64.52 ,65.25 ,65.75 ,66.38 ,66.99,67.62,67.44,67.58,68.4,69.1
,103,16,South Sumatera,1605,Musi Rawas,,59.69 ,60.63 ,61.37 ,62.23 ,63.19 ,64.11 ,64.75 ,65.31 ,66.18,66.92,66.79,67.01,67.78,68.26
,104,16,South Sumatera,1606,Musi Banyuasin,,61.79 ,62.56 ,63.27 ,64.18 ,64.93 ,65.76 ,66.45 ,66.96 ,67.57,67.83,67.69,68.1,68.6,69.17
,105,16,South Sumatera,1607,Banyuasin,,60.31 ,61.04 ,61.69 ,62.42 ,63.21 ,64.15 ,65.01 ,65.85 ,66.4,66.9,66.74,67.13,67.93,68.65
,106,16,South Sumatera,1608,Ogan Komering Ulu Selatan,,58.88 ,59.74 ,60.63 ,61.58 ,61.94 ,62.57 ,63.42 ,63.96 ,64.84,65.43,65.3,65.34,65.87,66.67
,107,16,South Sumatera,1609,Ogan Komering Ulu Timur,,63.36 ,64.27 ,65.18 ,66.09 ,66.74 ,67.17 ,67.38 ,67.84 ,68.58,69.34,69.28,69.58,70.23,70.96
,108,16,South Sumatera,1610,Ogan Ilir,,61.62 ,62.47 ,63.03 ,63.64 ,64.49 ,65.35 ,65.45 ,65.63 ,66.43,67.22,67.06,67.17,67.96,68.76
,109,16,South Sumatera,1611,Empat Lawang,42776,61.11 ,61.86 ,62.30 ,62.74 ,63.17 ,63.55 ,64.00 ,64.21 ,64.81,65.1,65.25,65.39,66,66.68
,110,16,South Sumatera,1612,Penukal Abab Lematang Ilir,,-,-,-,59.69 ,59.89 ,60.83 ,61.66 ,62.58 ,63.49,64.33,64.7,64.88,65.75,66.64
,111,16,South Sumatera,1613,Musi Rawas Utara,,-,-,-,60.56 ,61.34 ,62.32 ,63.05 ,63.18 ,63.75,64.32,64.49,64.93,65.74,66.6
,112,16,South Sumatera,1671,Palembang City,,73.33 ,74.08 ,74.74 ,75.49 ,76.02 ,76.29 ,76.59 ,77.22 ,77.89,78.44,78.33,78.72,79.47,80.02
,113,16,South Sumatera,1672,Prabumulih City,,69.39 ,70.32 ,70.95 ,71.87 ,72.20 ,73.19 ,73.38 ,73.58 ,74.04,74.4,74.55,74.67,75.52,76.46
,114,16,South Sumatera,1673,Pagar Alam City,,61.97 ,62.71 ,63.33 ,64.14 ,64.75 ,65.37 ,65.96 ,66.81 ,67.62,68.44,68.31,68.68,69.6,70.45
,115,16,South Sumatera,1674,Lubuklinggau City,,70.72 ,71.62 ,72.04 ,72.55 ,72.84 ,73.17 ,73.57 ,73.67 ,74.09,74.81,74.78,74.89,75.53,76.19
,116,17,Bengkulu,1701,Bengkulu Selatan ,,65.84 ,66.50 ,66.77 ,67.61 ,68.28 ,68.57 ,68.71 ,69.04 ,69.85,70.27,70.63,70.75,71.42,71.91
,117,17,Bengkulu,1702,Rejang Lebong,43734,64.19 ,64.92 ,65.51 ,66.11 ,66.55 ,67.51 ,68.34 ,68.61 ,69.4,70.1,70.44,70.77,71.45,72.31
,118,17,Bengkulu,1703,Bengkulu Utara,,63.50 ,64.61 ,65.47 ,66.67 ,67.27 ,67.46 ,67.63 ,67.80 ,68.36,68.8,68.82,69.28,69.77,70.28
,119,17,Bengkulu,1704,Kaur,,61.39 ,61.85 ,62.32 ,63.17 ,63.75 ,64.47 ,64.95 ,65.28 ,66.2,66.78,66.99,67.17,67.77,68.38
,120,17,Bengkulu,1705,Seluma,,60.27 ,61.01 ,61.55 ,62.10 ,62.94 ,63.41 ,64.04 ,65.00 ,65.99,66.69,66.89,67.03,67.76,68.27
