district,year,no,HDI,GI_status,GI_year
Simeulue,2010,1,60.6,0,
Simeulue,2011,1,61.03,0,
Simeulue,2012,1,61.25,0,
Simeulue,2013,1,61.68,0,
Simeulue,2014,1,62.18000031,0,
Simeulue,2015,1,63.15999985,0,
Simeulue,2016,1,63.81999969,0,
Simeulue,2017,1,64.41000366,0,
Simeulue,2018,1,64.73999786,0,
Simeulue,2019,1,65.69999695,0,
Simeulue,2020,1,66.02999878,0,
Simeulue,2021,1,66.41000366,0,
Simeulue,2022,1,67.26999664,0,
Simeulue,2023,1,68.05999756,0,
Aceh Singkil,2010,2,62.36,0,
Aceh Singkil,2011,2,63.13,0,
Aceh Singkil,2012,2,64.23,0,
Aceh Singkil,2013,2,64.87,0,
Aceh Singkil,2014,2,65.26999664,0,
Aceh Singkil,2015,2,66.05000305,0,
Aceh Singkil,2016,2,66.95999908,0,
Aceh Singkil,2017,2,67.37000275,0,
Aceh Singkil,2018,2,68.01999664,0,
Aceh Singkil,2019,2,68.91000366,0,
Aceh Singkil,2020,2,68.94000244,0,
Aceh Singkil,2021,2,69.22000122,0,
Aceh Singkil,2022,2,69.62000275,0,
Aceh Singkil,2023,2,70.13999939,0,
South Aceh,2010,3,61.22,0,
South Aceh,2011,3,61.52,0,
South Aceh,2012,3,61.69,0,
South Aceh,2013,3,62.27,0,
South Aceh,2014,3,62.34999847,0,
South Aceh,2015,3,63.27999878,0,
South Aceh,2016,3,64.12999725,0,
South Aceh,2017,3,65.02999878,0,
South Aceh,2018,3,65.91999817,0,
South Aceh,2019,3,66.90000153,0,
South Aceh,2020,3,67.12000275,0,
South Aceh,2021,3,67.44000244,0,
South Aceh,2022,3,67.87000275,0,
South Aceh,2023,3,68.44000244,0,
South East Aceh ,2010,4,63.82,0,
South East Aceh ,2011,4,64.27,0,
South East Aceh ,2012,4,64.99,0,
South East Aceh ,2013,4,65.55,0,
South East Aceh ,2014,4,65.90000153,0,
South East Aceh ,2015,4,66.76999664,0,
South East Aceh ,2016,4,67.48000336,0,
South East Aceh ,2017,4,68.08999634,0,
South East Aceh ,2018,4,68.66999817,0,
South East Aceh ,2019,4,69.36000061,0,
South East Aceh ,2020,4,69.37000275,0,
South East Aceh ,2021,4,69.44000244,0,
South East Aceh ,2022,4,70.31999969,0,
South East Aceh ,2023,4,71.05000305,0,
East Aceh ,2010,5,61.75,0,
East Aceh ,2011,5,62.35,0,
East Aceh ,2012,5,62.93,0,
East Aceh ,2013,5,63.27,0,
East Aceh ,2014,5,63.56999969,0,
East Aceh ,2015,5,64.55000305,0,
East Aceh ,2016,5,65.41999817,0,
East Aceh ,2017,5,66.31999969,0,
East Aceh ,2018,5,66.81999969,0,
East Aceh ,2019,5,67.38999939,0,
East Aceh ,2020,5,67.62999725,0,
East Aceh ,2021,5,67.83000183,0,
East Aceh ,2022,5,68.72000122,0,
East Aceh ,2023,5,69.31999969,0,
West Aceh,2010,7,66.05,0,
West Aceh,2011,7,66.47,0,
West Aceh,2012,7,66.66,0,
West Aceh,2013,7,66.86,0,
West Aceh,2014,7,67.30999756,0,
West Aceh,2015,7,68.41000366,0,
West Aceh,2016,7,69.26000214,0,
West Aceh,2017,7,70.19999695,0,
West Aceh,2018,7,70.47000122,0,
West Aceh,2019,7,71.22000122,0,
West Aceh,2020,7,71.37999725,0,
West Aceh,2021,7,71.66999817,0,
West Aceh,2022,7,72.33999634,0,
West Aceh,2023,7,72.87999725,0,
Aceh Besar,2010,8,69.76,0,
Aceh Besar,2011,8,69.94,0,
Aceh Besar,2012,8,70.1,0,
Aceh Besar,2013,8,70.61,0,
Aceh Besar,2014,8,71.05999756,0,
Aceh Besar,2015,8,71.69999695,0,
Aceh Besar,2016,8,71.75,0,
Aceh Besar,2017,8,72,0,
Aceh Besar,2018,8,72.73000336,0,
Aceh Besar,2019,8,73.55000305,0,
Aceh Besar,2020,8,73.55999756,0,
Aceh Besar,2021,8,73.58000183,0,
Aceh Besar,2022,8,74,0,
Aceh Besar,2023,8,74.52999878,0,
Pidie,2010,9,66.75,0,
Pidie,2011,9,66.95,0,
Pidie,2012,9,67.3,0,
Pidie,2013,9,67.59,0,
Pidie,2014,9,67.87000275,0,
Pidie,2015,9,68.68000031,0,
Pidie,2016,9,69.05999756,0,
Pidie,2017,9,69.51999664,0,
Pidie,2018,9,69.93000031,0,
Pidie,2019,9,70.41000366,0,
Pidie,2020,9,70.62999725,0,
Pidie,2021,9,70.69999695,0,
Pidie,2022,9,71.19999695,0,
Pidie,2023,9,71.66000366,0,
Bireuen,2010,10,66.42,0,
Bireuen,2011,10,67.03,0,
Bireuen,2012,10,67.57,0,
Bireuen,2013,10,68.23,0,
Bireuen,2014,10,68.70999908,0,
Bireuen,2015,10,69.76999664,0,
Bireuen,2016,10,70.20999908,0,
Bireuen,2017,10,71.11000061,0,
Bireuen,2018,10,71.37000275,0,
Bireuen,2019,10,72.26999664,0,
Bireuen,2020,10,72.27999878,0,
Bireuen,2021,10,72.33000183,0,
Bireuen,2022,10,73.16000366,0,
Bireuen,2023,10,73.62999725,0,
North Aceh,2010,11,63.56,0,
North Aceh,2011,11,64.22,0,
North Aceh,2012,11,64.82,0,
North Aceh,2013,11,65.36,0,
North Aceh,2014,11,65.93000031,0,
North Aceh,2015,11,66.84999847,0,
North Aceh,2016,11,67.19000244,0,
North Aceh,2017,11,67.66999817,0,
North Aceh,2018,11,68.36000061,0,
North Aceh,2019,11,69.22000122,0,
North Aceh,2020,11,69.33000183,0,
North Aceh,2021,11,69.45999908,0,
North Aceh,2022,11,70.22000122,0,
North Aceh,2023,11,70.87000275,0,
North-West Aceh,2010,12,60.91,0,
North-West Aceh,2011,12,61.75,0,
North-West Aceh,2012,12,62.15,0,
North-West Aceh,2013,12,62.62,0,
North-West Aceh,2014,12,63.08000183,0,
North-West Aceh,2015,12,63.77000046,0,
North-West Aceh,2016,12,64.56999969,0,
North-West Aceh,2017,12,65.08999634,0,
North-West Aceh,2018,12,65.66999817,0,
North-West Aceh,2019,12,66.55999756,0,
North-West Aceh,2020,12,66.75,0,
North-West Aceh,2021,12,66.98999786,0,
North-West Aceh,2022,12,67.41000366,0,
North-West Aceh,2023,12,68.06999969,0,
Aceh Tamiang,2010,14,64.67,0,
Aceh Tamiang,2011,14,64.89,0,
Aceh Tamiang,2012,14,65.21,0,
Aceh Tamiang,2013,14,65.56,0,
Aceh Tamiang,2014,14,66.08999634,0,
Aceh Tamiang,2015,14,67.02999878,0,
Aceh Tamiang,2016,14,67.41000366,0,
Aceh Tamiang,2017,14,67.98999786,0,
Aceh Tamiang,2018,14,68.44999695,0,
Aceh Tamiang,2019,14,69.23000336,0,
Aceh Tamiang,2020,14,69.23999786,0,
Aceh Tamiang,2021,14,69.48000336,0,
Aceh Tamiang,2022,14,70.43000031,0,
Aceh Tamiang,2023,14,71.34999847,0,
Nagan Raya,2010,15,63.57,0,
Nagan Raya,2011,15,64.24,0,
Nagan Raya,2012,15,64.91,0,
Nagan Raya,2013,15,65.23,0,
Nagan Raya,2014,15,65.58000183,0,
Nagan Raya,2015,15,66.73000336,0,
Nagan Raya,2016,15,67.31999969,0,
Nagan Raya,2017,15,67.77999878,0,
Nagan Raya,2018,15,68.15000153,0,
Nagan Raya,2019,15,69.11000061,0,
Nagan Raya,2020,15,69.18000031,0,
Nagan Raya,2021,15,69.30999756,0,
Nagan Raya,2022,15,70.09999847,0,
Nagan Raya,2023,15,70.77999878,0,
Aceh Jaya,2010,16,64.75,0,
Aceh Jaya,2011,16,65.17,0,
Aceh Jaya,2012,16,66.42,0,
Aceh Jaya,2013,16,66.92,0,
Aceh Jaya,2014,16,67.30000305,0,
Aceh Jaya,2015,16,67.52999878,0,
Aceh Jaya,2016,16,67.69999695,0,
Aceh Jaya,2017,16,68.06999969,0,
Aceh Jaya,2018,16,68.83000183,0,
Aceh Jaya,2019,16,69.73999786,0,
Aceh Jaya,2020,16,69.75,0,
Aceh Jaya,2021,16,69.83999634,0,
Aceh Jaya,2022,16,70.36000061,0,
Aceh Jaya,2023,16,70.87999725,0,
Pidie Jaya,2010,18,68.38,0,
Pidie Jaya,2011,18,68.69,0,
Pidie Jaya,2012,18,68.9,0,
Pidie Jaya,2013,18,69.26,0,
Pidie Jaya,2014,18,69.88999939,0,
Pidie Jaya,2015,18,70.48999786,0,
Pidie Jaya,2016,18,71.12999725,0,
Pidie Jaya,2017,18,71.73000336,0,
Pidie Jaya,2018,18,72.12000275,0,
Pidie Jaya,2019,18,72.87000275,0,
Pidie Jaya,2020,18,73.19999695,0,
Pidie Jaya,2021,18,73.59999847,0,
Pidie Jaya,2022,18,74.33999634,0,
Pidie Jaya,2023,18,74.80000305,0,
Banda Aceh City,2010,19,80.36,0,
Banda Aceh City,2011,19,80.87,0,
Banda Aceh City,2012,19,81.3,0,
Banda Aceh City,2013,19,81.84,0,
Banda Aceh City,2014,19,82.22000122,0,
Banda Aceh City,2015,19,83.25,0,
Banda Aceh City,2016,19,83.73000336,0,
Banda Aceh City,2017,19,83.94999695,0,
Banda Aceh City,2018,19,84.37000275,0,
Banda Aceh City,2019,19,85.06999969,0,
Banda Aceh City,2020,19,85.41000366,0,
Banda Aceh City,2021,19,85.70999908,0,
Banda Aceh City,2022,19,86.27999878,0,
