district,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015,HDI_2016,HDI_2017,HDI_2018,HDI_2019,HDI_2020,HDI_2021,HDI_2022,HDI_2023,PopDens2010,PopDens2011,PopDens2012,PopDens2013,PopDens2014,PopDens2015,PopDens2016,PopDens2017,PopDens2018,PopDens2019,PopDens2020,PopDens2021,PopDens2022,PopDens2023
Aceh Besar,69.76,69.94,70.1,70.61,71.06,71.7,71.75,72,72.73,73.55,73.56,73.58,74,74.53,134.6308997,135.0600321,136.7199425,138.1045057,139.8150982,141.3083969,142.1104947,143.4126503,143.3688578,153.0049795,154.0329902,137.0785948,139.6367844,140.7203555
Aceh Jaya,64.75,65.17,66.42,66.92,67.3,67.53,67.7,68.07,68.83,69.74,69.75,69.84,70.36,70.88,28.68188818,28.77276393,29.13610427,29.4284019,29.64802725,29.90508767,30.18046,30.42428401,30.63408771,31.34363224,31.5371191,23.29374412,24.19584675,24.44794616
Aceh Singkil,62.36,63.13,64.23,64.87,65.27,66.05,66.96,67.37,68.02,68.91,68.94,69.22,69.62,70.14,74.52489703,74.69631792,74.00470117,74.74376253,75.06430514,75.65820507,76.10201655,76.83781674,77.56082535,82.61965133,83.26620295,62.58894634,62.80805457,63.68413896
Aceh Tamiang,64.67,64.89,65.21,65.56,66.09,67.03,67.41,67.99,68.45,69.23,69.24,69.48,70.43,71.35,105.5271536,105.7778748,106.9866889,108.0252694,108.2306363,109.2485215,110.2400369,111.2090151,112.1341679,119.6189402,120.5320318,138.7955176,140.2905283,141.3925067
Agam,66.12,66.94,67.95,68.73,69.32,69.84,70.36,71.1,71.7,72.37,72.46,72.57,73.29,73.98,211.8995903,212.0832637,209.927583,214.1771857,216.4806342,217.3442204,219.0540534,220.9616615,222.7998897,217.4490428,219.1373911,248.1664346,242.7394459,244.5298542
Alor,55.46,56.01,56.47,57.52,58,58.5,58.99,59.61,60.14,61.03,61.33,61.37,62.26,62.99,62.58332297,65.07651771,65.87565883,66.54862842,66.00038236,64.85437782,65.40446323,64.19451587,61.47655919,63.62426676,62.40609581,57.50651057,58.1759293,58.74480478
Ambon City,76.07,76.7,77.49,78.16,79.09,79.3,79.55,79.82,80.24,80.81,80.84,81.23,81.63,82.06,,,,,,,,,,,,,,
Asahan,65.06,65.87,66.23,66.58,67.51,68.4,68.71,69.1,69.49,69.92,70.29,70.49,71.13,71.56,125.2521096,122.4866466,132.0105609,133.3210248,137.3084174,138.5026256,139.7007965,140.926786,142.0973246,143.0174175,144.107263,196.5071,199.4072786,201.0583605
Asmat,43.69,44.58,45.08,45.54,45.91,46.62,47.31,48.49,49.37,50.37,50.55,51.29,52.22,53.19,0.335512497,0.573587864,0.574810669,0.581044923,0.615595992,0.616535775,0.58509391,0.601115418,0.605684625,0.650953877,0.657156753,4.201247308,4.416559276,4.475999052
Badung,75.84,76.66,77.26,77.63,77.98,78.86,79.8,80.54,80.87,81.59,81.6,81.83,82.13,83.08,934.0004898,1012.871291,1059.51999,1070.244752,1081.332389,1093.571888,1103.307356,1115.433424,1159.76272,1158.089357,1168.756991,1363.098125,1356.443354,1365.193015
Balangan,62.88,63.28,63.69,64.03,64.44,65.34,66.25,67.25,67.88,68.39,68.82,69.11,69.73,70.49,49.25578719,52.52477334,53.18388115,53.6933299,54.68956625,55.1746889,55.70651273,56.19389099,56.67477818,59.65159791,60.12264969,69.87550414,70.67709667,71.22098476
Balikpapan City,75.55,76.02,76.56,77.53,77.93,78.18,78.57,79.01,79.81,80.11,80.01,80.71,81.13,81.66,,,,,,,,,,,,,,
Banda Aceh City,80.36,80.87,81.3,81.84,82.22,83.25,83.73,83.95,84.37,85.07,85.41,85.71,86.28,86.69,,,,,,,,,,,,,,
Bandar Lampung City,71.11,72.04,72.88,73.93,74.34,74.81,75.34,75.98,76.63,77.33,77.44,77.58,78.01,78.56,,,,,,,,,,,,,,
Bandung,67.28,67.78,68.13,68.58,69.06,70.05,70.69,71.02,71.75,72.41,72.39,72.73,73.16,73.74,1630.890494,1723.963137,1721.091289,1738.474874,1751.183264,1768.050585,1777.049706,1792.636299,1808.599592,1860.226324,1880.141951,2064.993664,2077.920738,2094.727385
Bandung City,77.49,78.13,78.3,78.55,78.98,79.67,80.13,80.31,81.06,81.62,81.51,81.96,82.5,83.04,,,,,,,,,,,,,,
Banggai ,64.09,64.63,65.44,66.39,67.11,67.44,68.17,69,69.85,70.36,70.52,70.6,71.08,71.7,37.30938722,38.82639952,39.30171744,39.70075826,40.11896755,40.53316211,40.85222495,41.19226994,41.47805056,42.8280679,43.05134073,39.38073274,38.38915842,38.73422655
Banggai Kepulauan ,59.42,60.54,61.09,61.74,62.33,62.97,63.45,64.07,64.68,65.13,65.42,65.61,66.08,66.82,48.76817882,50.84773216,51.46572362,51.98142247,52.09104997,52.55343238,53.02912402,53.48842896,53.94066249,55.70185012,56.14244492,41.69435713,35.28551935,35.68059663
Banggai Laut,0,0,0,61.86,62.12,62.9,63.49,64.08,64.8,65.27,65.43,65.65,66.22,66.93,39.64904697,41.27910337,41.82367956,42.24176334,43.2855148,43.73437955,43.59876685,43.96993729,44.33881621,45.79646941,46.05828235,73.0422707,68.17168835,68.80085061
Bangka,66.41,67.37,67.99,69.34,69.79,70.03,70.43,71.09,71.8,72.39,72.4,72.46,72.95,73.66,71.0811225,89.27456098,90.32180771,91.30249951,92.00098997,89.98093185,90.78112352,91.55384023,92.0718903,100.1449229,100.8978645,109.2240794,109.1256651,109.9811236
Bangka Barat,63.16,64,64.92,65.85,66.43,67.23,67.6,67.94,68.68,69.05,69.08,69.6,70.12,70.45,59.85021296,67.87653978,68.75031725,69.41921727,70.7151858,71.13887594,71.72001592,72.30181793,72.9108691,79.30591322,79.92925508,70.94022133,69.60211197,70.14576028
Bangka Selatan,59.98,60.53,61.17,62.96,63.54,63.89,64.57,65.02,65.98,66.54,66.9,67.06,67.95,68.51,60.4769467,68.52359113,69.43183554,70.07137658,70.83158613,69.29154982,69.86978177,70.44977129,70.96652947,77.19737862,77.80411064,56.39414316,53.53895605,53.94011788
Bangka Tengah,65.1,66.09,66.88,67.67,68.09,68.66,68.76,68.99,69.52,70.33,70.45,70.89,71.4,71.71,60.13498311,68.45181601,69.35843183,69.98390333,70.58629495,82.08874578,82.79374554,83.47901331,83.10333964,90.39130684,91.10021616,87.74507631,88.75589871,89.48779215
Bangkalan,57.23,58.63,59.65,60.19,60.71,61.49,62.06,62.3,62.87,63.79,64.11,64.36,65.05,65.75,718.4652052,679.1963774,687.4868815,694.463535,700.4184559,706.0743144,713.2055705,719.2868801,717.7070655,678.2756532,683.1398823,795.8183392,802.7256364,808.8851172
Bangli,63.43,63.87,64.53,65.47,65.75,66.24,67.03,68.24,68.96,69.35,69.36,69.37,70.26,70.79,426.0179751,461.2368127,465.4031302,470.1128887,474.7464847,479.5503418,483.8743782,490.2501338,502.5518036,501.4696111,504.7968718,499.5500204,499.0576797,502.814534
Banjar,64.46,64.75,65.04,65.36,65.71,66.39,66.87,67.77,68.32,68.94,69.18,69.89,70.72,71.46,102.1144537,108.8756572,110.4502092,111.559806,112.68009,113.6574451,114.7241639,115.7269546,116.4419043,122.4921062,123.4574434,122.1795865,124.2735919,125.2378513
Banjar Baru City,75.49,76.23,76.67,77.1,77.3,77.56,77.96,78.32,78.83,79.22,79.1,79.26,79.68,80.11,,,,,,,,,,,,,,
Banjar City,66.81,67.15,67.53,68.01,68.34,69.31,70.09,70.79,71.25,71.75,71.7,71.92,72.55,73.08,,,,,,,,,,,,,,
Banjarmasin City,71.01,72.01,73.45,74.59,74.94,75.41,75.94,76.46,76.83,77.16,77.1,77.57,77.97,78.5,,,,,,,,,,,,,,
Banjarnegara,60.7,61.58,62.29,62.84,63.15,64.73,65.52,65.86,66.54,67.34,67.45,67.86,68.61,69.14,847.1768528,770.7887065,780.2702691,788.163194,796.2222679,803.8234803,811.1878194,818.29845,825.1658929,791.0694995,797.3041366,888.4750316,895.4349888,901.7583535
Bantaeng,62.46,63.07,63.99,64.88,65.77,66.2,66.59,67.27,67.76,68.3,68.73,68.99,69.69,70.57,464.4236389,456.8727782,463.1790979,467.8297094,476.9489025,496.2900584,499.1000186,503.4861933,507.1298974,496.3570322,499.3914338,465.3607664,464.3185404,467.2145806
Bantul,75.31,75.79,76.13,76.78,77.11,77.99,78.42,78.67,79.45,80.01,80.01,80.28,80.69,81.39,1715.039612,1666.371128,1685.753262,1702.817563,1718.346826,1728.482435,1742.995481,1758.313359,1821.752213,1811.781162,1825.774611,1893.83331,1923.471789,1937.20472
