asdf_id,gdp_grid.none.sum,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
14,13360.836,0.173049608,0.074426419,0.01502572,0.070705265,0.089275341,0.047933303,0.124020749,0.11888229,0.095170237,ADM1,14,14,IDN,IDN-ADM1-65028918B66542200,ID-AC,Aceh,ADM1
0,17865.23438,1.281217031,0.835017625,0.66866467,0.89117866,0.977054952,0.609881165,0.917640274,1.182646711,1.002329509,ADM1,0,0,IDN,IDN-ADM1-65028918B78775780,ID-BA,Bali,ADM1
26,4677.784955,0.117437272,0.067941905,0.061028619,0.052861055,0.087409351,0.046638837,0.083030539,0.121522878,0.100446085,ADM1,26,26,IDN,IDN-ADM1-65028918B12520141,ID-BB,Bangka-Belitung Islands,ADM1
2,42414.97266,2.73617892,0.923110564,1.237386587,1.539484785,1.808979554,1.386898822,1.788778318,2.495483734,2.647486532,ADM1,2,2,IDN,IDN-ADM1-65028918B7050220,ID-BT,Banten,ADM1
15,2781.189861,0.042340943,0.021547241,0.026636522,0.017730585,0.030290948,0.010138535,0.030434791,0.038505602,0.015502121,ADM1,15,15,IDN,IDN-ADM1-65028918B85643638,ID-BE,Bengkulu,ADM1
3,129403.7881,1.265123576,0.482389234,0.641740243,0.679568577,0.711028003,0.396116234,0.857885743,1.201936374,1.001078895,ADM1,3,3,IDN,IDN-ADM1-65028918B91957123,ID-JT,Central Java,ADM1
5,5009.305362,0.024312543,0.009066303,0.007094484,0.013560452,0.014248654,0.007285933,0.016572104,0.022031525,0.023101352,ADM1,5,5,IDN,IDN-ADM1-65028918B27141282,ID-KT,Central Kalimantan,ADM1
8,5004.047688,0.071736021,0.047562019,0.013346734,0.090850037,0.058994571,0.019999862,0.073932818,0.070360532,0.075898286,ADM1,8,8,IDN,IDN-ADM1-65028918B88466983,ID-ST,Central Sulawesi,ADM1
25,181234.6697,1.50097798,0.799435912,0.919190965,1.057593233,1.014078323,0.656114572,1.063911878,1.547209378,1.224682863,ADM1,25,25,IDN,IDN-ADM1-65028918B99757142,ID-JI,East Java,ADM1
30,36500.37916,0.153248724,0.135715462,0.087138764,0.120475569,0.15904138,0.095585797,0.135531404,0.132779695,0.144476724,ADM1,30,30,IDN,IDN-ADM1-65028918B55881347,ID-KI,East Kalimantan,ADM1
22,5676.338863,0.056096353,0.024053449,0.018442501,0.02818431,0.027200234,0.021421216,0.036442491,0.065270944,0.046848416,ADM1,22,22,IDN,IDN-ADM1-65028918B82229894,ID-NT,East Nusa Tenggara,ADM1
9,3369.214844,0.151779946,0.065699672,0.03923314,0.079900171,0.074590664,0.052466391,0.11502431,0.15100748,0.112943143,ADM1,9,9,IDN,IDN-ADM1-65028918B8206154,ID-GO,Gorontalo,ADM1
33,51145.34375,32.17756504,13.94745331,21.38993152,24.76827716,28.79210939,21.93500401,21.72739461,27.60317207,31.06787113,ADM1,33,33,IDN,IDN-ADM1-65028918B99123603,ID-JK,Jakarta Special Capital Region,ADM1
16,8576.212492,0.169794226,0.110590936,0.130963607,0.089768591,0.127037183,0.09749225,0.116552285,0.146100342,0.123505233,ADM1,16,16,IDN,IDN-ADM1-65028918B63440985,ID-JA,Jambi,ADM1
17,25919.79825,0.426622664,0.108081032,0.12893785,0.176916612,0.218583781,0.109192478,0.26085027,0.392515398,0.302261533,ADM1,17,17,IDN,IDN-ADM1-65028918B62979931,ID-LA,Lampung,ADM1
23,2912.248644,0.026095558,0.016806709,0.019302578,0.021904114,0.021123777,0.013115789,0.025059797,0.02738289,0.022997457,ADM1,23,23,IDN,IDN-ADM1-65028918B72932691,ID-MA,Maluku,ADM1
31,3887.860362,0.027428525,0.019987446,0.020032953,0.015143988,0.015512072,0.018289426,0.015015188,0.024296812,0.021886896,ADM1,31,31,IDN,IDN-ADM1-65028918B30039183,ID-KU,North Kalimantan,ADM1
24,1379.320786,0.045843599,0.019328123,0.011196773,0.022394277,0.020229552,0.012889194,0.03172865,0.054577802,0.035194261,ADM1,24,24,IDN,IDN-ADM1-65028918B91169189,ID-MU,North Maluku,ADM1
10,8326.097403,0.257840694,0.158413572,0.102282975,0.177112481,0.183047078,0.118481963,0.237940981,0.270826404,0.246006457,ADM1,10,10,IDN,IDN-ADM1-65028918B83552376,ID-SA,North Sulawesi,ADM1
21,43990.29579,0.26469383,0.137405058,0.045860714,0.118023484,0.181322173,0.134245873,0.269483414,0.220827368,0.239969724,ADM1,21,21,IDN,IDN-ADM1-65028918B49442101,ID-SU,North Sumatra,ADM1
28,5312.910111,0.007723228,0.00451177,0.00214551,0.006458555,0.006532092,0.003710645,0.007319233,0.00869485,0.008015781,ADM1,28,28,IDN,IDN-ADM1-65028918B26490290,ID-PA,Papua,ADM1
18,21557.5586,0.219465218,0.154657161,0.063798134,0.131375164,0.154015659,0.080230677,0.194252629,0.165275442,0.220554533,ADM1,18,18,IDN,IDN-ADM1-65028918B84961334,ID-RI,Riau,ADM1
