province,kopi_2017,kopi_2018,kopi_2019,kopi_2020
Aceh,68.5,64.8,72.7,73.4
Bali,13.6,15.4,15.3,15.7
Bangka-Belitung Island,0,0,0,
Banten,2.6,1.7,2.6,2
Bengkulu,58.9,55.4,62.6,62.3
Central Java,15.7,16.5,24.7,26.2
Central Kalimantan,0.4,0.4,0.4,0.4
Central Sulawesi,2.7,2.9,2.6,2.7
East Java ,64.8,71.6,49.2,45.3
East Kalimantan,0.3,0.3,0.2,0.2
East Nusa Tenggara,21.4,22.2,24.1,23.9
Gorontalo,0.2,0.2,0.1,0.1
Jakarta Special Capital Region,,,,
Jambi,14.3,14.6,16.4,18.6
Lampung,107.2,106.7,117.1,117.3
Maluku,0.4,0.4,0.4,0.4
North Kalimantan,0.2,0.3,0.2,0.1
North Maluku,0.1,0.1,0,
North Sulawesi,3.5,4,3.7,3.7
North Sumatra,67.4,67.9,74.9,76.6
Papua,2.5,2.5,2.8,2.7
Riau,2.9,3,2.6,2.4
Riau Islands,,,0,
South Kalimantan,1.6,1.6,1.3,1.2
South Sulawesi ,33.1,32.8,34.7,35.6
South Sumatra,184,184.2,191,198.9
South Sulawesi,2.7,2.7,2.8,2.7
Special Region of Yogyakarta,0.4,0.5,0.5,0.5
West Jawa,16.8,19.6,21,23
West Kalimantan,3.7,3.6,3.8,3.7
West Nusa Tenggara ,4.9,5,5.4,5.6
West Papua,0,0,0,0.1
West Sulawesi ,3.3,3.4,4.1,4.4
West Sumatra,18,18.2,15.3,12.5
